earliest_appearance,latest_appearance,latest_area,latest_zone,pmin_median,pmax_median,pmax_99_perc,pmax_max,eia_gen_id,epa_generator_id,fitting_param_x,fitting_param_intercept,energy_source_code,prime_mover_code,operating_year,retirement_month,retirement_year,planned_operation_month,planned_operation_year,category
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,NCEN,115.25,226.025,246.65,469.0,U6,U6,6.730672779881854,79.7634689421702,NG,CT,21.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,NCEN,115.25,226.025,246.65,469.0,U5,U5,6.903812281377582,22.934002455163178,NG,CT,21.0,,,,,gas
ercot_rt_se_20160105_H01,ercot_rt_se_20240331_H24,ERC,NCEN,115.25,226.0,246.05,323.1333333333333,ST2,U1,6.980937335215352,0.0,NG,CA,21.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,SCEN,62.0,217.0,220.0,228.0,1,1,8.671961451464965,197.2936702800663,NG,ST,58.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,SOUT,83.33333333333333,213.5,333.15,670.0,9,9,6.357035158908095,210.53055322543548,NG,CT,14.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,SOUT,83.33333333333333,213.5,350.0,669.8,8,8,6.321984662756992,202.54869804989403,NG,CT,14.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,SOUT,83.33333333333333,212.66666666666663,223.76666666666665,335.0,7,8,6.321984662756992,202.54869804989403,NG,CA,52.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,EAST,116.25,210.0,288.3333333333333,427.5,STG1,OGTDB1,6.61982802250638,111.72576402904974,NG,CA,23.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,EAST,116.25,210.0,283.3333333333333,427.5,GTG2,OGTDB2,6.517824141624552,129.90067483479146,NG,CT,23.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,EAST,116.25,210.0,283.3333333333333,290.0,GTG1,OGTDB1,6.61982802250638,111.72576402904974,NG,CT,23.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,EAST,116.25,210.0,285.0,290.0,GTG3,OGTDB3,6.597639207166484,135.2228443713502,NG,CT,23.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,NCEN,101.66666666666669,206.66666666666663,609.0,637.0,CT3,CT-3,6.531519887929438,71.07276983672196,NG,CT,13.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,NCEN,101.66666666666669,206.66666666666663,609.0,637.0,CT4,CT-4,6.5288154862217676,62.40203617364465,NG,CT,13.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,NCEN,101.66666666666669,206.33333333333331,216.66666666666663,304.5,ST2,CT-3,6.531519887929438,71.07276983672196,NG,CA,13.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,NCEN,40.0,205.0,208.0,211.0,3,3,9.79520834250805,4.392052648685784,NG,ST,49.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H08,ERC,SOUT,45.333333333333336,205.0,648.6,671.3,3,3,6.66282854983765,185.9550626562104,NG,CT,14.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240302_H08,ERC,SOUT,45.333333333333336,204.83333333333331,350.0,658.6,4,4,6.547891313320161,197.85457055053317,NG,CT,14.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240302_H08,ERC,SOUT,45.333333333333336,204.23333333333332,229.66666666666663,333.6,2,3,6.66282854983765,185.9550626562104,NG,CA,48.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,NCEN,101.66666666666669,202.33333333333331,604.0,638.0,CT2,CT-2,6.909873700336971,57.793590212902764,NG,CT,18.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,NCEN,101.66666666666669,202.0,604.0,628.0,CT1,CT-1,6.883485833484261,59.42828734425565,NG,CT,18.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,NCEN,101.66666666666669,202.0,212.0,302.0,ST1,CT-1,6.883485833484261,59.42828734425565,NG,CA,18.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240301_H08,ERC,NOTH,86.66666666666667,198.36666666666667,224.0,425.0,CTG2,CTGDB2,6.709450894314616,141.79280090236074,NG,CT,21.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240301_H08,ERC,NOTH,86.66666666666667,198.33333333333331,354.0,354.0,CTG4,CTGDB4,6.709450894314616,141.79280090236074,NG,CT,21.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240301_H08,ERC,NOTH,86.66666666666667,198.33333333333331,218.33333333333331,317.95,STG1,CTGDB1,6.61982802250638,150.916184436149,NG,CA,21.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240301_H08,ERC,NOTH,86.66666666666667,198.33333333333331,224.0,639.0,CTG1,CTGDB1,6.709450894314616,141.79280090236074,NG,CT,21.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240301_H08,ERC,NOTH,86.66666666666667,198.0666666666667,214.96666666666667,320.35,STG2,CTGDB1,6.61982802250638,150.916184436149,NG,CA,21.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240301_H08,ERC,NOTH,86.66666666666667,198.0,215.0,603.2,CTG3,CTGDB3,6.709450894314616,141.79280090236074,NG,CT,21.0,,,,,gas
ercot_rt_se_20160410_H01,ercot_rt_se_20240331_H24,ERC,NOTH,85.0,190.0,200.0,202.0,ELK3,ELK3,10.038658964757568,0.0,NG,GT,8.0,,,,,gas
ercot_rt_se_20160410_H01,ercot_rt_se_20240331_H24,ERC,NOTH,85.0,190.0,200.0,210.0,ELK1,ELK1,10.038658964757568,0.0,NG,GT,9.0,,,,,gas
ercot_rt_se_20160410_H01,ercot_rt_se_20240331_H24,ERC,NOTH,85.0,190.0,200.0,202.0,ELK2,ELK2,10.038658964757568,0.0,NG,GT,8.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,COAS,105.33333333333331,186.66666666666663,234.0,302.0,CTG2,CTG2,6.865256505614374,67.40380294207128,NG,CT,21.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,COAS,105.33333333333331,186.66666666666663,238.0,291.0,CTG1,CTG1,6.791884358342074,80.04811376357335,NG,CT,21.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,NOTH,101.0,176.66666666666666,260.0,283.0,STG1,1,6.248601836067722,173.07295085376006,NG,CA,24.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,NOTH,101.0,176.66666666666666,195.7,283.0,CTG1,1,6.248601836067722,173.07295085376006,NG,CT,24.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,NOTH,101.0,176.6,251.7,566.0,CTG2,2,6.271073739405401,162.3986763672681,NG,CT,24.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,NOTH,101.83333333333331,176.5666666666667,266.5,536.0,CTG4,4,6.267457250271868,155.68737082180098,NG,CT,24.0,,,,,gas
