,Unnamed: 0,GENERATOR,UNIT,PLANT_ID,PNODE,ISO,CLUSTER,RETIRED_DATE,FUEL,new_gas_multiplier,new_gas_intercept,F1-score,R-squared,nat_gas_coeffs_exist
511,360,PORTWAS0 11CT,2CT1,4040,WEC.PORTWA1CT1,miso,PORTWAS0,,NG,6.333333333333333,-7.645176040237768,0.8236967652505267,,1
512,361,PORTWAS0 12CT,2CT2,4040,WEC.PORTWA1CT1,miso,PORTWAS0,,NG,6.336991312299954,-7.429355281207132,0.8346679553628162,,1
513,362,PORTWAS0 CT1,1CT1,4040,WEC.PORTWA1CT1,miso,PORTWAS0,,NG,2.6021947873799736,5.35528120713306,0.8678170086163243,,1
514,363,PORTWAS0 CT2,1CT2,4040,WEC.PORTWA1CT1,miso,PORTWAS0,,NG,3.2203932327389104,-0.1902149062642889,0.8681647240902353,,1
515,364,PORTWAS0 ST1,ST1,4040,WEC.PORTWA1CT1,miso,PORTWAS0,,NG,1.5084590763603112,7.92318244170096,0.8792232074610563,,1
516,367,PULLIAM  PUL_G31,31,4072,WPS.PULLIAM31,miso,PULLIAM,,NG,11.388660265203471,11.303155006858711,0.5797160302178561,,1
517,375,REI2     CTG_A,CTG1,55237,AMIL.REI2CTGA,miso,REI2,,NG,16.315957933241883,9.141289437585732,0.41945730553723,,0
518,376,REI2     CTG_B,CTG2,55237,AMIL.REI2CTGA,miso,REI2,,NG,15.386831275720166,8.329218106995885,0.517714603884081,,0
519,377,REI2     CTG_C,CTG3,55237,AMIL.REI2CTGA,miso,REI2,,NG,16.882944673068128,6.25880201188843,0.4794955969079542,,0
520,378,REI2     CTG_D,CTG4,55237,AMIL.REI2CTGA,miso,REI2,,NG,16.136716963877458,8.193872885230906,0.5378280177104261,,0
521,379,REI2     CTG_E,CTG5,55237,AMIL.REI2CTGA,miso,REI2,,NG,15.986739826245998,9.276634659350703,0.5477416103891394,,0
522,380,REI2     CTG_F,CTG6,55237,AMIL.REI2CTGA,miso,REI2,,NG,16.315957933241883,9.141289437585732,0.5604082219784203,,0
523,381,REI2     CTG_G,CTG7,55237,AMIL.REI2CTGA,miso,REI2,,NG,15.836762688614542,9.89849108367627,0.6333387291470689,,0
