earliest_appearance,latest_appearance,latest_area,latest_zone,pmin_median,pmax_median,pmax_99_perc,pmax_max,eia_gen_id,epa_generator_id,fitting_param_x,fitting_param_intercept,energy_source_code,prime_mover_code,operating_year,retirement_month,retirement_year,planned_operation_month,planned_operation_year,category
ercot_rt_se_20211201_H01,ercot_rt_se_20240331_H24,ERC,NCEN,0.0,35.8,149.7,153.5,ASWWT,ASWWT,,,WND,WT,1.0,,,,,wind
ercot_rt_se_20220228_H15,ercot_rt_se_20240331_H24,ERC,SOUT,0.0,35.8,123.2,127.5,HEL,HEL,,,WND,WT,2.0,,,,,wind
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,WEST,0.0,35.8,101.2,110.0,SW2,SW2,,,WND,WT,19.0,,,,,wind
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,SOUT,0.0,35.6,150.0,160.8,1,1,,,WND,WT,15.0,,,,,wind
ercot_rt_se_20181221_H17,ercot_rt_se_20240331_H24,ERC,NOTH,0.0,35.6,90.7,92.5,BSII,BSII,,,WND,WT,5.0,,,,,wind
ercot_rt_se_20180926_H01,ercot_rt_se_20240331_H24,ERC,SOUT,0.0,35.5,149.9,162.2,MIDWY,MIDWY,,,WND,WT,5.0,,,,,wind
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,NCEN,0.0,35.0,100.9,104.8,1,1,,,WND,WT,9.0,,,,,wind
ercot_rt_se_20161011_H19,ercot_rt_se_20240331_H24,ERC,NOTH,0.0,34.9,121.0,125.6,GEN1,GEN1,,,WND,WT,8.0,,,,,wind
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,FWES,0.0,34.7,101.9,105.6,MSCRK,MSCRK,,,WND,WT,9.0,,,,,wind
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,FWES,0.0,34.6,115.9,119.6,1,1,,,WND,WT,16.0,,,,,wind
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,WEST,0.0,34.5,237.0,253.9,1,1,,,WND,WT,15.0,,,,,wind
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,WEST,0.0,34.5,160.3,170.2,GEN1,GEN1,,,WND,WT,16.0,,,,,wind
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,WEST,0.0,34.2,127.7,130.5,SCW,SCW,,,WND,WT,17.0,,,,,wind
ercot_rt_se_20200915_H17,ercot_rt_se_20240331_H24,ERC,SOUT,0.0,34.1,164.4,173.3,LC,LC,,,WND,WT,3.0,,,,,wind
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,SOUT,0.0,34.1,104.7,110.0,1,1,,,WND,WT,9.0,,,,,wind
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,WEST,0.0,33.8,112.5,121.5,4,4,,,WND,WT,16.0,,,,,wind
ercot_rt_se_20210626_H01,ercot_rt_se_20240331_H24,ERC,NOTH,0.0,33.6,95.5,98.4,GTWND,GTWND,,,WND,WT,3.0,,,,,wind
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,NOTH,0.0,33.4,96.2,99.8,GEN1,GEN1,,,WND,WT,10.0,,,,,wind
