earliest_appearance,latest_appearance,latest_area,latest_zone,pmin_median,pmax_median,pmax_99_perc,pmax_max,eia_gen_id,epa_generator_id,fitting_param_x,fitting_param_intercept,energy_source_code,prime_mover_code,operating_year,retirement_month,retirement_year,planned_operation_month,planned_operation_year,category
ercot_rt_se_20190927_H17,ercot_rt_se_20230111_H24,ERC,FWES,0.0,9.9,9.9,9.9,TX8,TX8,,,MWH,BA,4.0,,,,,hydro
ercot_rt_se_20230602_H01,ercot_rt_se_20240331_H24,ERC,SOUT,0.0,9.9,9.9,9.9,SMTH2,SMTH2,,,MWH,BA,1.0,,,,,hydro
ercot_rt_se_20210304_H16,ercot_rt_se_20240331_H24,ERC,SOUT,0.0,9.6,9.9,9.9,PBL1,PBL1,,,MWH,BA,2.0,,,,,hydro
ercot_rt_se_20210430_H19,ercot_rt_se_20230329_H24,ERC,SCEN,0.0,9.6,9.9,9.9,RANCH,RANCH,,,MWH,BA,3.0,,,,,hydro
ercot_rt_se_20210304_H17,ercot_rt_se_20240331_H24,ERC,SOUT,0.0,9.6,9.9,9.9,ZPT2,ZPT2,,,MWH,BA,2.0,,,,,hydro
ercot_rt_se_20201203_H01,ercot_rt_se_20240331_H24,ERC,SOUT,0.0,9.4,9.9,9.9,PBL2,PBL2,,,MWH,BA,2.0,,,,,hydro
ercot_rt_se_20190102_H01,ercot_rt_se_20240331_H24,ERC,FWES,0.0,9.3,9.9,9.9,BAT1,BAT1,,,MWH,BA,5.0,,,,,hydro
ercot_rt_se_20230914_H13,ercot_rt_se_20240331_H24,ERC,NCEN,0.0,9.0,51.4,51.4,CHSTG,CHSTG,,,MWH,BA,,,,5.0,2024.0,hydro
ercot_rt_se_20230914_H13,ercot_rt_se_20240331_H24,ERC,NCEN,0.0,9.0,47.6,47.6,CHSTG,CHSTG,,,MWH,BA,,,,5.0,2024.0,hydro
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,SCEN,0.0,8.4,8.7,9.5,2,2,,,WAT,HY,84.0,,,,,hydro
